地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク,資源種類
東海,愛知,稲沢市,自然,植物,祖父江のイチョウ,B,自然資源
九州,沖縄,宮古島市,自然,海岸・岬,通り池,B,自然資源
九州,鹿児島,薩摩川内市,自然,岩石・洞窟,甑島の断崖,B,自然資源
中国,島根,出雲市,自然,海岸・岬,稲佐の浜,B,自然資源
中国,広島,広島市,自然,河川・峡谷,太田川,B,自然資源
四国,徳島,徳島市,自然,河川・峡谷,新町川,B,自然資源
九州,佐賀,佐賀市,自然,河川・峡谷,嘉瀬川,B,自然資源
九州,宮崎,延岡市,自然,河川・峡谷,北川,B,自然資源
中国,兵庫,豊岡市,自然,岩石・洞窟,玄武洞,B,自然資源
北関東,群馬,高崎市,人文,神社・寺院・教会,慈眼院（高崎観音）,B,歴史資源
東海,長野,阿智村,自然,植物,園原のハナモモ,B,自然資源
東北,宮城,気仙沼市,自然,植物,徳仙丈山のツツジ,B,自然資源
南関西,和歌山,美浜町,自然,海岸・岬,煙樹ヶ浜,B,自然資源
九州,福岡,北九州市,人文,博物館・美術館,松本清張記念館,B,現代資源
南関西,大阪,東大阪市,人文,博物館・美術館,司馬遼太郎記念館,B,現代資源
南関西,大阪,東大阪市,人文,神社・寺院・教会,石切劔箭神社,B,歴史資源
北海道,北海道,占冠村,自然,自然現象,トマムの雲海,B,自然資源
東北,秋田,仙北市,人文,芸能・興行・イベント,あきた芸術村,B,現代資源
北海道,北海道,（全道）,人文,食,北海道のカニ料理（毛ガニ）,B,現代資源
東海,山梨,北杜市,人文,食,清泉寮ソフトクリーム,B,現代資源
東海,長野,小布施町,人文,食,小布施町の栗菓子,B,現代資源
九州,福岡,太宰府市,人文,食,梅ケ枝餅,B,現代資源
九州,長崎,島原市,人文,食,かんざらし,B,現代資源
北関西,京都,京都市,人文,食,茶室等で食べる京菓子,B,現代資源
東海,愛知,安城市,人文,テーマ公園・テーマ施設,安城産業文化公園デンパーク,B,現代資源
北関西,京都,亀岡市,人文,年中行事（祭り・伝統行事）,出雲風流花踊り,B,歴史資源
北関西,京都,京都市,人文,年中行事（祭り・伝統行事）,松尾祭,B,歴史資源
東北,山形,飯豊町,人文,郷土景観,飯豊町の田園散居集落,B,歴史資源
東海,山梨,甲州市,人文,年中行事（祭り・伝統行事）,藤切り祭,B,歴史資源
北関西,京都,京都市,人文,年中行事（祭り・伝統行事）,二十五菩薩練供養,B,歴史資源
東海,愛知,名古屋市,人文,集落・街,有松のまち,B,現代資源
東北,秋田,男鹿市/潟上市,人文,年中行事（祭り・伝統行事）,東湖八坂神社のトウニン（統人）行事,B,歴史資源
中国,鳥取,境港市,人文,郷土景観,境港漁港,B,歴史資源
四国,香川,高松市,人文,テーマ公園・テーマ施設,四国民家博物館,B,現代資源
東京,東京,港区,人文,テーマ公園・テーマ施設,東京ジョイポリス,B,現代資源
