,地域,都道府県,市町村名,自然・人文,種別名称,資源名称,資源ランク
1503,九州,熊本,熊本市,人文,庭園・公園,水前寺成趣園,A
1504,九州,鹿児島,鹿児島市,人文,庭園・公園,磯庭園（仙巌園）,A
1505,九州,沖縄,那覇市,人文,庭園・公園,識名園,A
1506,北海道,北海道,札幌市,人文,建造物,豊平館,B
1507,北海道,北海道,上士幌町,人文,建造物,タウシュベツ川橋梁,B
1508,北海道,北海道,札幌市,人文,建造物,札幌市時計台（旧札幌農学校演武場）,B
1509,北海道,北海道,札幌市,人文,建造物,北海道庁旧本庁舎（赤れんが庁舎）,B
1510,北海道,北海道,北広島市,人文,建造物,旧島松駅逓所,B
1511,東北,青森,弘前市,人文,集落・街,弘前の洋館群,B
1512,東北,青森,五所川原市,人文,建造物,斜陽館（太宰治生家）,B
1513,東北,岩手,盛岡市,人文,建造物,旧盛岡銀行,B
1514,東北,岩手,盛岡市,人文,建造物,旧第九十銀行本店本館,B
1515,東北,岩手,盛岡市,人文,建造物,紺屋町番屋,B
1516,東北,岩手,遠野市,人文,建造物,宮森川橋梁（めがね橋）,B
1517,東北,宮城,松島町,人文,建造物,観瀾亭,B
1518,東北,宮城,登米市,人文,建造物,旧登米高等尋常小学校校舎,B
1519,東北,秋田,小坂町,人文,建造物,十和田ホテル本館,B
1520,東北,秋田,小坂町,人文,建造物,小坂鉱山事務所,B
1521,東北,山形,酒田市,人文,建造物,酒田山居倉庫,B
1522,東北,山形,山形市,人文,建造物,山形市郷土館（旧済生館本館）,B
1523,東北,福島,猪苗代町,人文,建造物,天鏡閣,B
1524,北関東,茨城,常陸太田市,人文,建造物,西山荘,B
1525,北関東,茨城,牛久市,人文,建造物,シャトーカミヤ,B
1526,北関東,栃木,日光市,人文,建造物,旧田母沢御用邸,B
1527,北関東,栃木,日光市,人文,建造物,中禅寺湖畔の外国大使館別荘群,B
1528,北関東,栃木,日光市,人文,建造物,日光金谷ホテル,B
1529,北関東,群馬,安中市,人文,建造物,碓氷峠鉄道施設,B
1530,南関東,千葉,木更津市,人文,建造物,アクアライン,B
1531,東京,東京,墨田区,人文,建造物,東京スカイツリー,A
1532,東京,東京,港区,人文,建造物,東京タワー,A
1533,東京,東京,千代田区,人文,建造物,国会議事堂,A
1534,東京,東京,千代田区,人文,建造物,東京駅,A
1535,東京,東京,文京区,人文,建造物,湯島聖堂,B
1536,東京,東京,港区,人文,建造物,迎賓館赤坂離宮,B
1537,東京,東京,中央区,人文,建造物,日本銀行本店,B
1538,東京,東京,台東区,人文,建造物,旧岩崎邸,B
1539,東京,東京,港区,人文,建造物,レインボーブリッジ,B
1540,東京,東京,台東区,人文,建造物,台東区立旧東京音楽学校奏楽堂,B
